teamNumber,entries,avgAutoFuel,avgTransitionFuel,avgFirstActiveHubFuel,avgSecondActiveHubFuel,avgEndgameFuel,avgTotalFuel,endgameAvgClimbPoints,autoClimbPercent
5962,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3566,3,0.0,0.0,1.33,2.33,1.33,5.0,0.0,0.0
1768,1,0.0,4.0,24.0,5.0,0.0,33.0,0.0,0.0
190,3,12.33,1.67,21.67,15.0,0.0,50.67,6.67,0.0
501,3,0.33,0.0,0.0,0.0,0.0,0.33,0.0,0.0
88,3,2.67,0.0,0.0,0.0,0.0,2.67,1.67,0.0
6328,4,18.5,1.75,44.75,31.5,29.5,126.0,0.0,0.0
78,2,0.0,0.0,0.0,0.0,2.5,2.5,0.0,0.0
9644,3,0.67,0.0,0.0,0.0,0.0,0.67,0.0,0.0
1735,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4041,3,1.33,0.0,1.33,1.67,1.67,6.0,0.0,0.0
1073,3,0.0,0.0,2.33,0.67,8.33,11.33,0.0,0.0
2423,3,0.0,0.0,0.33,8.0,2.67,11.0,0.0,0.0
811,3,2.33,0.33,2.67,4.67,5.0,15.0,0.0,0.0
5813,3,0.0,0.0,0.33,0.0,2.33,2.67,0.0,0.0
5422,3,5.0,0.0,0.0,10.0,10.0,25.0,0.0,0.0
4909,3,17.33,1.0,15.0,16.33,10.33,60.0,0.0,0.0
151,2,3.0,0.0,3.0,6.0,9.0,21.0,0.0,0.0
1119,2,0.0,0.0,0.0,3.5,0.5,4.0,0.0,0.0
1153,3,0.0,2.0,1.67,2.33,4.0,10.0,0.0,0.0
2079,2,0.0,0.0,0.5,0.0,7.5,8.0,0.0,0.0
131,2,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
5000,3,9.67,0.0,9.33,10.0,7.67,36.67,0.0,33.33
8724,3,6.67,0.0,7.67,9.33,6.33,30.0,0.0,0.0
1512,3,0.0,0.0,0.0,4.33,5.0,9.33,0.0,0.0
2342,3,0.0,2.33,0.0,0.0,0.0,2.33,0.0,0.0
1721,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2877,2,7.0,3.0,4.5,19.5,26.0,60.0,0.0,0.0
5687,2,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0
